NAME_O,ORIGX,ORIGY,NAME_D,DSTNX,DSTNY
"69, Kalayaan B Gulob, Batasan Hills, QC",14.69186,121.088226,Commonwealth Market,14.682,121.08509
"65, Kasipagan St.-Gulod Kalayaan B, Batasan Hills, QC",14.69186,121.08823,Marikina Market,14.68472,121.09774
"16, Kasipagan Gulod, Kalayaan B, Batasan Hills, QC",14.69186,121.08823,"Divisioria, Metro Manila",14.58226,120.9748
"59 Kasipagan St, Gulod Kalayaan B, Batasan Hills, QC",14.69186,121.08823,"Commonwealth Market, Commonwealth Ave, QC",14.682,121.08509
"91 Kasipagan St, Gulod, BH, QC",14.6815,121.10906,Commonwealth Market,14.682,121.08509
"87 Kasipagan St, Gulod, BH, QC",14.68608,121.0948,"Commonwealth Market, Commonwealth Ave, QC",14.682,121.08509
"35 Kaibigan St, Kalayaan B, BH, QC",14.69186,121.08823,Commonwealth Market,14.682,121.08509
"Blk7 Lot17 Kasipagan St., Gulod, Kalayaan B, BH, QC",14.69186,121.08823,"Talipapa, QC",14.68472,121.09774
"35 Kasipagan St. Gulob Kalayaan B, BH QC",14.69186,121.08823,Commonwealth Market,14.682,121.08509
"118 Pangasinan St., BH, QC",14.68647,121.0929,Kasiyahan Talipapa,14.68748,121.09312
"48C Kasiyahan St., BH, QC",14.68748,121.09312,"Kasiyahan St., Talipapa",14.68748,121.09312
"B2L5 Kasayahan St., BH, QC",14.68748,121.09312,"Tanod Outpost, Upper Kasayahan",14.68748,121.09312
"76 Pangasinan St., BH, QC",14.68673,121.09366,"Talipapa, Kasayahan St.",14.68748,121.09312
"49 Kasayahan St., BH, QC",14.68748,121.09312,"Talipapa, Kasayahan St.",14.68748,121.09312
"121 Pangasinan St., Luzviminda Village, BH, QC",14.68647,121.0929,"BPSO, Luzon St.",14.68492,121.0915
"36 Pangasinan St., BH, QC",14.68672,121.09444,St. Peter Parish / Don Antonio Heights,14.68057,121.09355
"52-A Rodman St., BH, QC",14.68885,121.10784,"Talipapa, Kagawad Road",14.68205,121.09848
"11 Rodman St., BH, QC",14.68436,121.10922,"Manggahan, Commonwealth",14.682,121.08509
"96 Area A, Kalanay St., BH, QC",14.68634,121.09501,Constitution Market,14.69064,121.09661
"108-A Lakatan St, Kalanay, BH, QC",14.68918,121.09961,Tivoli Greens Subd,14.68472,121.09774
"122 Lakatan St. Area A, BH, QC",14.68057,121.09355,"Ermita, Manila",14.58681,120.98084
"59 Lakatan St., Area A, BH, QC",14.67991,121.10617,Commonwealth Market,14.682,121.08509
